company_name,filing_date,Risk Factors,cleaned_text
MAX & ERMAS RESTAURANTS INC,1999-01-15,,
CEL SCI CORP,1999-01-15,,
SUPERIOR BANK FSB AFC MORTGAGE LN ASSET BK CERT SER 1998-1,1999-01-19,,
DATAMARINE INTERNATIONAL INC,1999-01-19,,
ESTERLINE TECHNOLOGIES CORP,1999-01-15,,
THREE D DEPARTMENTS INC,1999-01-19,,
HOVNANIAN ENTERPRISES INC,1999-01-15,,
HEWLETT PACKARD CO,1999-01-15,,
MAX & ERMAS RESTAURANTS INC,1999-01-15,,
CEL SCI CORP,1999-01-15,,
TOLL BROTHERS INC,1999-01-19,,
SUPERIOR BANK FSB,1999-01-19,,
VICORP RESTAURANTS INC,1999-01-20,,
RECYCLING INDUSTRIES INC,1999-01-13,,
CONDOR WEST CORP,1999-01-20,,
CONDOR WEST CORP,1999-01-20,,
DONNEBROOKE CORP,1999-01-20,,
ROPER INDUSTRIES INC /DE/,1999-01-20,,
BAGDAD CHASE INC,1999-01-20,,
INTERACTIVE FLIGHT TECHNOLOGIES INC,1999-01-20,,
NAVISTAR FINANCIAL SECURITIES CORP,1999-01-21,,
STEWART ENTERPRISES INC,1999-01-21,,
TRANSMEDIA ASIA PACIFIC INC,1999-01-21,,
VALSPAR CORP,1999-01-22,,
GENENTECH INC,1999-01-22,,
ADVANCED DIGITAL INFORMATION CORP,1999-01-22,,
LUXTEC CORP /MA/,1999-01-22,,
WESTERBEKE CORP,1999-01-22,,
ONEITA INDUSTRIES INC,1999-01-22,,
CFM TECHNOLOGIES INC,1999-01-22,,
WNC HOUSING TAX CREDIT FUND IV L P SERIES 1,1999-01-22,,
WNC HOUSING TAX CREDIT FUND IV L P SERIES 1,1999-01-22,,
QUALITY DINING INC,1999-01-22,,
21ST CENTURY TELESIS II INC,1999-01-22,,
DATAMETRICS CORP,1999-01-25,,
NATIONAL CITY CORP,1999-01-25,,
PULASKI FURNITURE CORP,1999-01-25,,
ILM SENIOR LIVING INC /VA,1999-01-25,,
HEALTH MANAGEMENT SYSTEMS INC,1999-01-25,,
ILM II SENIOR LIVING INC /VA,1999-01-25,,
CENTIGRAM COMMUNICATIONS CORP,1999-01-25,,
OWOSSO CORP,1999-01-25,,
AUTOLOGIC INFORMATION INTERNATIONAL INC,1999-01-26,,
CANAL CAPITAL CORP,1999-01-26,,
DEERE JOHN CAPITAL CORP,1999-01-26,,
GREIF BROTHERS CORP,1999-01-26,,
EDWARDS J D & CO,1999-01-26,,
POWELL INDUSTRIES INC,1999-01-26,,
AK STEEL HOLDING CORP,1999-01-26,,
CREDIT SUISSE FIRST BOSTON MORT PASS THROUGH CERT SER 1998 1,1999-01-27,,
HURCO COMPANIES INC,1999-01-27,,
WITTER DEAN REALTY INCOME PARTNERSHIP I LP,1999-01-27,,
AUTOTOTE CORP,1999-01-27,,
DEAN WITTER REALTY INCOME PARTNERSHIP III LP,1999-01-27,,
SANDERSON FARMS INC,1999-01-27,,
HOLIDAY RV SUPERSTORES INC,1999-01-27,,
WHITTAKER CORP,1999-01-28,,
EATON VANCE CORP,1999-01-28,,
FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,1999-01-28,,
HARCOURT GENERAL INC,1999-01-28,,
KIMBERLY CLARK CORP,1998-03-26,,
ANALOG DEVICES INC,1999-01-28,,
MICHIGAN RIVET CORP,1999-01-28,,
APPLIED SIGNAL TECHNOLOGY INC,1999-01-28,,
WITTER DEAN REALTY INCOME PARTNERSHIP II LP,1999-01-28,,
ABM INDUSTRIES INC /DE/,1999-01-28,,
OPTEK TECHNOLOGY INC,1999-01-28,,
NAVISTAR FINANCIAL RETAIL RECEIVABLES CORPORATION,1999-01-28,,
STB SYSTEMS INC,1999-01-28,,
OPTICAL CABLE CORP,1999-01-29,,
SMART MODULAR TECHNOLOGIES INC,1999-01-29,,
LANDEC CORP \CA\,1999-01-29,,
CUNO INC,1999-01-29,,
URS CORP /NEW/,1999-01-29,,
URSTADT BIDDLE PROPERTIES INC,1999-01-29,,
EXCELSIOR PRIVATE EQUITY FUND II INC,1999-01-29,,
SIGNATURE EYEWEAR INC,1999-01-29,,
BOOTH CREEK SKI HOLDINGS INC,1999-01-29,,
CITYSCAPE HOME LOAN OWNER TRUST 1997-2,1999-01-29,,
CITYSCAPE HOME LOAN OWNER TRUST 1997-3,1999-01-29,,
KSL RECREATION GROUP INC,1999-01-29,,
CITYSCAPE HOME LOAN OWNER TRUST 1997-1,1999-01-29,,
FINANCIAL ASSET SECURITIES CORP CITYSCAPE HM EQ LN TR 1996-4,1999-01-29,,
CITYSCAPE HOME LOAN OWNER TRUST 1997-4,1999-01-29,,
REPUBLIC SERVICES INC,1999-01-29,,
MMH HOLDINGS INC,1999-01-29,,
MORRIS MATERIAL HANDLING INC,1999-01-29,,
COYNE INTERNATIONAL ENTERPRISES CORP,1999-01-29,,
BLUE RIDGE TEXTILE MANUFACTURING INC,1999-01-29,,
OHIO GARMENT RENTAL INC,1999-01-29,,
MIDWAY CTS BUFFALO LTD,1999-01-29,,
BOWLES FLUIDICS CORP,1999-01-29,,
CHAMPION INDUSTRIES INC,1999-01-29,,
COLLECTIVE INVESTMENT TRUSTS FOR UNITED MISSOURI BANK N A,1999-01-29,,
COLLINS INDUSTRIES INC,1999-01-29,,
ANDATACO INC,1999-01-29,,
TCI INTERNATIONAL INC,1998-12-28,,
FOODARAMA SUPERMARKETS INC,1999-01-29,,
HORMEL FOODS CORP /DE/,1999-01-29,,
KIT MANUFACTURING CO,1999-01-29,,
TCA CABLE TV INC,1999-01-29,,
PPT VISION INC,1999-01-29,,
NOBILITY HOMES INC,1999-01-29,,
TORO CO,1999-01-29,,
OPTICAL COATING LABORATORY INC,1999-01-29,,
NOVELL INC,1999-01-29,,
CENTRAL SPRINKLER CORP,1999-01-29,,
ENGINEERED SUPPORT SYSTEMS INC,1999-01-29,,
